Rank,Title,Author,Ratings,Price,No_of_Reviews,Cover_Type,Year_of_List,Genre
29,"The Five Dysfunctions of a Team: A Leadership Fable, 20th Anniversary Edition",Patrick Lencioni,4.6,20.72,6296,Hardcover,2010,Non-Fiction
30,Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,16.5,5803,Hardcover,2010,Non-Fiction
31,Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.4,11.49,3497,Paperback,2010,Non-Fiction
32,"The Road to Serfdom: Text and Documents--The Definitive Edition (The Collected Works of F. A. Hayek, Volume 2)",F. A. Hayek,4.7,17,2406,Paperback,2010,Non-Fiction
33,The Confession: A Novel,John Grisham,4.4,9.35,7914,Hardcover,2010,Fiction
34,"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,4.6,16.97,3242,Hardcover,2010,Non-Fiction
35,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.7,44.5,577,Paperback,2010,Non-Fiction
36,"The Last Olympian (Percy Jackson and the Olympians, Book 5)",Rick Riordan,4.8,10.44,14955,Hardcover,2010,Fiction
37,Switch: How to Change Things When Change Is Hard,Chip Heath,4.6,16.99,3912,Hardcover,2010,Non-Fiction
38,The Art of Racing in the Rain: A Novel,Garth Stein,4.7,9.8,16418,Paperback,2010,Fiction
39,The 5 Love Languages: The Secret to Love That Lasts,Gary Chapman,4.7,23.99,7012,Paperback,2010,Non-Fiction
40,"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,9.07,531,Hardcover,2010,Non-Fiction
41,Drive: The Surprising Truth About What Motivates Us ,Daniel H. Pink,4.5,16,8468,Paperback,2010,Non-Fiction
42,"The Red Pyramid (The Kane Chronicles, Book 1)",Rick Riordan,4.7,10.61,5025,Hardcover,2010,Fiction
43,Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,4.8,18.9,1223,Paperback,2010,Fiction
44,Little Bee: A Novel,Chris Cleave,4.2,10.2,1902,Paperback,2010,Fiction
45,"Barefoot Contessa, How Easy Is That?: Fabulous Recipes & Easy Tips",Ina Garten,4.8,15.79,1371,Hardcover,2010,Non-Fiction
46,George Washington's Sacred Fire,Peter A. Lillback,4.6,29.22,612,Paperback,2010,Non-Fiction
47,Radical: Taking Back Your Faith from the American Dream,David Platt,4.7,9.21,2727,Paperback,2010,Non-Fiction
48,"Towers of Midnight (Wheel of Time, Book Thirteen)",Robert Jordan,4.8,21.49,7325,Hardcover,2010,Fiction
49,Sarah's Key,Tatiana de Rosnay,4.6,10.83,4784,Paperback,2010,Fiction
51,The Hunger Games,Suzanne Collins,4.7,22.6,42770,Hardcover,2010,Fiction
52,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,4.6,19.99,1676,Paperback,2010,Non-Fiction
53,Cleopatra: A Life,Stacy Schiff,4.2,12,1586,Hardcover,2010,Non-Fiction
54,Freedom: A Novel,Jonathan Franzen,4,12.23,2718,Hardcover,2010,Fiction
55,Freedom,Jonathan Franzen,4,17.48,2718,Hardcover,2010,Fiction
56,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,4.7,18.49,11833,Hardcover,2010,Non-Fiction
57,Fall of Giants (The Century Trilogy),Ken Follett,4.5,16.98,18702,Hardcover,2010,Fiction
58,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,4.4,9.49,8494,Paperback,2010,Non-Fiction
59,"Eat Pray Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,4.4,9.27,8494,Paperback,2010,Non-Fiction
60,Tao I: The Way of All Life,Zhi Gang Sha Dr.,4.3,27.57,88,Hardcover,2010,Non-Fiction
61,Chelsea Chelsea Bang Bang,Chelsea Handler,4.4,9.65,1045,Hardcover,2010,Non-Fiction
62,Let the Great World Spin: A Novel,Colum McCann,4.3,8.58,1778,Paperback,2010,Fiction
63,The Pioneer Woman Cooks: Recipes from an Accidental Country Girl,Ree Drummond,4.8,14.52,5477,Hardcover,2010,Non-Fiction
